"ID","Duration (in seconds)","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Intergroup_dominance_Q1","Intergroup_dominance_Q2","Intergroup_dominance_Q3","Intergroup_dominance_Q4","Intergroup_dominance_Q5","Intergroup_dominance_Q6","Intergroup_dominance_Q7","Intergroup_dominance_Q8","Antiegalitarian_Q1","Antiegalitarian_Q2","Antiegalitarian_Q3","Antiegalitarian_Q4","Antiegalitarian_Q5","Antiegalitarian_Q6","Antiegalitarian_Q7","Antiegalitarian_Q8","SC0"
70,"218","6","4","125","110","1","77","200","Slightly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Agree","Slightly Disagree","Slightly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Slightly Disagree","Slightly Agree","Strongly Agree","Somewhat Agree","80"
71,"139","1","0","0","0","0","63","120","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","71"
72,"132","8","6","90",NA,"8","66","120","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","67"
73,"268","6","3","105","N/A","0","68","168","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","73"
74,"242","6","4","225","300","15","71","165","Strongly Agree","Slightly Disagree","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Slightly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Agree","77"
75,"136","8","5","160","260","17","65","135","Somewhat Disagree","Slightly Disagree","Somewhat Disagree","Slightly Agree","Slightly Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Neutral","Slightly Agree","Somewhat Agree","Somewhat Agree","71"
76,"179","7","7","315","385","22","69","192","Somewhat Agree","Somewhat Disagree","Slightly Disagree","Neutral","Somewhat Agree","Somewhat Agree","Slightly Agree","Slightly Agree","Slightly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Slightly Disagree","Strongly Agree","Slightly Disagree","81"
77,"169","7","5","135","225","9","67","150","Slightly Agree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","89"
78,"321",NA,"5 days a week","230","295","19","71","195","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Slightly Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Slightly Agree","Slightly Disagree","Neutral","90"
79,"352","5","7 days","115","185","0","66","158","Slightly Agree","Neutral","Slightly Disagree","Neutral","Strongly Agree","Slightly Disagree","Slightly Agree","Neutral","Slightly Agree",NA,NA,NA,"Neutral","Slightly Disagree","Neutral","Neutral","67"
80,"317","6","5","80","225","5","66","150","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Slightly Agree","Strongly Agree","Slightly Agree","Strongly Agree","Neutral","Slightly Disagree","Slightly Disagree","Slightly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","85"
81,"239","7","7","240","400","16","5’11","160","Strongly Agree","Slightly Agree","Slightly Agree","Slightly Agree","Neutral","Slightly Disagree","Slightly Disagree","Slightly Disagree","Slightly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Neutral","Slightly Disagree","Neutral","Slightly Disagree","84"
